Date,_,Word,Number of  reported results,Number in hard mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,X,1,2,3,4,5,6,7,-1,-2,-3,-4,-5,-6,-X
2022/5/15,126,yield,67115,4963,0,4,16,29,29,18,4,0.411880663,4.076923077,16.74608894,31.87032271,29,15.22875312,2.666031491,0.411880663,0.015384615,0.043887585,0.095677424,0,-0.145855099,-0.266793702
2022/5/16,127,delve,68349,5179,0,2,14,32,33,16,2,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,0.213651188,0,0.010448711,0.013878901,-0.058823529,0.048518866,0.448931235
2022/5/17,128,being,70722,5142,0,4,22,37,26,10,1,0.478617933,4.833333333,20.04109095,32.6082623,26,13.18993613,2.848759357,0.478617933,0.166666667,-0.085169959,-0.115572045,0,0.289994194,0.924379679
2022/5/18,129,scour,73933,5544,0,8,34,35,17,5,1,0.696652603,7.25,28.49334646,34.1260494,18.41935484,7.961982555,3.052614142,0.696652603,-0.083333333,-0.157332958,-0.024276406,0.078853047,0.493663759,1.026307071
2022/5/19,130,glass,70920,5162,0,4,19,33,27,14,3,0.415848855,4.166666667,18.83924891,32.64686165,27,13.93197402,2.999399896,0.415848855,0.033333333,-0.008037555,-0.010386422,0,-0.004535065,-0.000150026
2022/5/20,131,gamer,69884,5238,1,4,17,28,26,18,6,0.479988398,4.875,21.21629256,33.05111642,24.875,12.46182538,3.040777245,-0.260005801,0.175,0.234238476,0.174176428,-0.041666667,-0.291482875,-0.422746108
2022/5/21,132,scrap,66814,4973,1,9,28,34,20,8,1,0.873527323,9,26.43094688,31.91301904,20.83333333,9.24730003,1.701873399,-0.063236339,0,-0.05410528,-0.059628027,0.03968254,0.138588892,0.3509367
2022/5/22,133,money,67909,4928,1,7,26,36,21,8,1,0.67841315,7,25.75898471,33.21619466,21,9.655458004,2.690949475,-0.160793425,0,-0.008926492,-0.075237982,0,0.183939778,0.845474738
2022/5/23,134,hinge,66431,4906,0,5,25,37,22,9,2,0.528388335,5.444444444,24.49049363,33.9278869,21.85,10.43512647,3.323660224,0.528388335,0.074074074,-0.019596399,-0.080845082,-0.006521739,0.143512647,0.441220075
2022/5/24,135,album,63380,4809,0,5,26,35,24,9,1,0.491650348,5,21.48786006,33.06258773,24.64285714,12.29404901,3.020995712,0.491650348,0,-0.167116294,-0.053817008,0.025714286,0.329404901,1.010497856
2022/5/25,136,vouch,62723,4835,0,2,9,25,33,24,6,0.218456087,2,12.08597964,31.61985485,33,18.10808357,2.967625852,0.218456087,0,0.308597964,0.254609802,0,-0.235676657,-0.433196307
2022/5/26,137,asset,63188,4733,0,7,28,34,21,8,1,0.67841315,7,25.75898471,33.21619466,21,9.655458004,2.690949475,0.67841315,0,-0.077276389,-0.022394438,0,0.183939778,0.845474738
2022/5/27,138,tiara,63846,4842,0,8,36,33,17,6,1,0.766560643,8,30.15018654,34.20598172,17,6.938322616,2.938948481,0.766560643,0,-0.158103066,0.035470051,0,0.134046088,0.969474241
2022/5/28,139,crept,60069,4562,0,4,27,38,22,7,1,0.484074235,5,24.75291201,34.38413704,21.4893617,10.27066725,3.618847759,0.484074235,0.2,-0.080253143,-0.092714435,-0.022201665,0.408833406,1.30942388
2022/5/29,140,bayou,56839,4435,0,6,17,33,29,13,2,0.550996808,5.5,17.10143095,30.89336521,29,15.01442393,1.939783113,0.550996808,-0.071428571,0.005635053,-0.061959847,0,0.143887424,-0.020072296
2022/5/30,141,atoll,60969,4741,0,6,28,36,21,8,1,0.580655859,6,25.50928492,33.90270534,21,9.806067706,3.201286173,0.580655859,0,-0.085886727,-0.056683639,0,0.20067419,1.100643087
2022/5/31,142,manor,62768,4802,0,6,27,34,21,10,2,0.653973827,6.75,25.69655976,33.38782233,21,9.693110429,2.818533649,0.653973827,0.107142857,-0.046551437,-0.017490791,0,-0.027899052,0.27284455
2022/6/1,143,creak,63241,4797,0,5,21,32,25,14,3,0.537723275,5.5,22.82188064,33.20875146,23.475,11.46941032,2.987234305,0.537723275,0.083333333,0.082812756,0.036628832,-0.058653846,-0.168705979,-0.003191424
2022/6/2,144,showy,61278,4770,0,2,16,37,30,13,2,0.210694328,2,15.43103898,32.97378764,29.76923077,16.03512052,3.580127767,0.210694328,0,-0.033468295,-0.105952957,-0.007444169,0.216794323,0.526709256
2022/6/3,145,peach,65431,4957,1,13,38,32,13,3,0,1.2457373,13,35.54018753,32.44972605,13,3.618748421,1.145600695,0.12286865,0,-0.063072115,0.013628062,0,0.154687105,1.145600695
2022/6/4,146,froth,58263,4432,0,5,22,35,25,11,1,0.515986708,5.25,21.59465824,32.90892039,24.6,12.2288981,2.901536563,0.515986708,0.041666667,-0.017623555,-0.058085545,-0.015384615,0.102408175,0.950768282
2022/6/5,147,depth,56738,4329,0,6,28,39,20,6,1,0.615994793,6.380952381,26.42408093,33.97294472,20.20833333,9.240734372,3.156959468,0.615994793,0.054421769,-0.054342037,-0.125676382,0.009920635,0.462962053,1.078479734
2022/6/6,148,gloom,58478,4548,0,2,14,35,35,13,1,0.223260986,2,10.01522862,30.78170598,35,19.39134641,2.588457999,0.223260986,0,-0.265651425,-0.117174834,0,0.456524744,0.794229
2022/6/7,149,flood,58991,4440,0,3,20,40,28,8,1,0.304201131,3,17.51255698,33.02871634,28,14.74931676,3.405208785,0.304201131,0,-0.118449668,-0.170031309,0,0.749924084,1.202604393
2022/6/8,150,trait,61026,4607,0,6,22,35,24,11,2,0.470554458,4.8,22.10351864,33.46929485,24,11.91169361,3.244938433,0.470554458,-0.171428571,0.00450081,-0.042519588,0,0.075974468,0.414979478
2022/6/9,151,girth,60020,4665,0,6,23,33,23,12,3,0.585460757,6,23.4385339,33.06455647,23,11.08933055,2.822118321,0.585460757,0,0.018272246,0.00189872,0,-0.070051496,-0.04447042
2022/6/10,152,piety,55376,4324,0,4,25,41,22,7,1,0.388230141,4,23.67868826,34.73691672,22.28571429,10.93224179,3.978208808,0.388230141,0,-0.050819682,-0.14912103,0.01242236,0.491530224,1.489104404
2022/6/11,153,goose,51958,4087,0,2,12,28,32,21,5,0.216053638,2,13.12135515,32.03892928,32,17.46645215,3.157209778,0.216053638,0,0.086258088,0.139273423,0,-0.160615811,-0.307131704
2022/6/12,154,float,56684,4323,1,12,30,32,18,6,1,1.164090552,12,28.34738138,30.32597288,19.70588235,8.07206295,0.384609888,0.082045276,0,-0.053310278,-0.050728095,0.089783282,0.296008993,-0.307695056
2022/6/13,155,donor,53802,4142,0,3,27,38,23,7,1,0.195632819,2,21.92204699,35.60106198,23.5,12.01258507,4.768673151,0.195632819,-0.25,-0.181355465,-0.061511231,0.020833333,0.626573134,1.884336576
2022/6/14,156,atone,59968,4762,2,16,34,29,14,4,1,1.542012235,16,34.99506751,29.86635097,14.25,3.968958593,-0.622389308,-0.152662588,0,0.0284305,0.028878366,0.016666667,-0.006208281,-0.811194654
2022/6/15,157,primo,55989,4391,0,3,22,38,25,10,2,0.379109908,3.84,20.82843133,33.70927067,25,12.69791035,3.545277737,0.379109908,0.21,-0.050937768,-0.110018701,0,0.245264577,0.515092579
2022/6/16,158,apron,53430,4112,0,7,30,38,19,5,1,0.674275598,7,27.54213142,33.93793397,19.27777778,8.550426111,3.017455126,0.674275598,0,-0.079286083,-0.104155539,0.013888889,0.591737685,1.008727563
2022/6/17,159,blown,54665,4251,0,6,23,35,26,10,1,0.527035939,5.340909091,20.68552026,32.46934333,25.5,12.79267459,2.684516784,0.527035939,-0.094155844,-0.096436656,-0.070296019,-0.018518519,0.253879508,0.842258392
2022/6/18,160,cacao,47205,4101,0,1,9,27,36,23,4,0.225663435,2,8.979853111,30.36263155,36,20.03297784,2.398874073,0.225663435,0.5,-0.002014689,0.120093984,0,-0.123625923,-0.320225185
2022/6/19,161,loser,55359,4399,1,10,28,32,19,8,2,0.964477674,10,29.61421061,32.41388592,18,7.278734634,1.728691158,-0.017761163,0,0.055662435,0.012541998,-0.05,-0.080140596,-0.090436281
2022/6/20,162,input,50484,3950,0,5,30,38,21,6,1,0.482898568,5,25.25958513,34.58921602,21,9.956677407,3.711622872,0.482898568,0,-0.152916609,-0.087455999,0,0.56523963,1.355811436
2022/6/21,163,gloat,53342,4194,0,8,21,31,26,12,2,0.783377788,8,22.90255797,31.27246068,24,11.42974257,1.611860998,0.783377788,0,0.086479908,0.008514396,-0.074074074,-0.043865956,-0.129379667
2022/6/22,164,awful,47645,3861,0,5,21,33,27,12,2,0.489166823,4.916666667,19.02652375,32.13197864,27,13.81901674,2.616647372,0.489166823,-0.013888889,-0.089703466,-0.02553004,0,0.139924365,0.205549124
2022/6/23,165,brink,53111,4118,0,4,22,41,24,7,1,0.392348625,4,21.90375881,34.0185034,24,12.03218137,3.653207791,0.392348625,0,-0.0041844,-0.16622611,0,0.629022671,1.326603896
2022/6/24,166,smite,50617,3991,0,6,23,35,24,11,2,0.671589677,6.904761905,24.6634993,32.84779783,22.03508772,10.33394659,2.543316976,0.671589677,0.129251701,0.069312471,-0.059783394,-0.078596491,-0.055504451,0.181105659
2022/6/25,167,beady,46089,3670,0,3,19,39,29,10,1,0.306603581,3,16.47718147,32.60964191,29,15.39094818,3.215624858,0.306603581,0,-0.126140927,-0.159758952,0,0.490086198,1.107812429
2022/6/26,168,rusty,50450,3954,0,9,37,34,13,5,1,0.854708137,9,34.54138837,35.19576878,13,4.221187228,3.186947488,0.854708137,0,-0.064700306,0.034164822,0,-0.129802129,1.093473744
2022/6/27,169,retro,47986,3848,0,6,24,35,24,9,1,0.585460757,6,23.4385339,33.06455647,23,11.08933055,2.822118321,0.585460757,0,-0.022458644,-0.05376232,-0.04,0.208933055,0.911059161
2022/6/28,170,droll,47312,3844,0,2,16,31,31,17,3,0.212013155,2,14.86266851,32.74373629,30.31818182,16.38734476,3.476055472,0.212013155,0,-0.066901852,0.054491759,-0.021306818,-0.034036402,0.119013868
2022/6/29,171,gawky,45645,3957,0,1,5,22,33,28,10,0.218456087,2,12.08597964,31.61985485,33,18.10808357,2.967625852,0.218456087,0.5,1.180996607,0.418254559,0,-0.341100567,-0.639306741
2022/6/30,172,hutch,44212,3758,0,1,12,28,28,21,9,0.208627885,2,16.32160673,33.33425026,28.90909091,15.48322776,3.743196459,0.208627885,0.5,0.332431287,0.183939664,0.031347962,-0.250762375,-0.525680354
2022/7/1,173,pinto,47248,3792,0,5,25,41,22,6,1,0.503323644,5.2,24.9330249,34.29952318,21.36363636,10.15987598,3.540615922,0.503323644,0.033333333,-0.002575965,-0.159535162,-0.027667984,0.594267997,1.270307961
2022/7/2,174,egret,41765,3515,0,3,14,33,33,15,2,0.315312459,3,12.72394525,31.09049708,32.625,17.71686209,2.528383126,0.315312459,0,-0.085070317,-0.056161851,-0.011029412,0.169803881,0.176127709
2022/7/3,175,lilac,40486,3461,0,2,17,38,29,12,1,0.304201131,3,17.51255698,33.02871634,28,14.74931676,3.405208785,0.304201131,0.333333333,0.028475388,-0.127468812,-0.033333333,0.211485905,1.202604393
2022/7/4,176,sever,42645,3591,0,2,13,27,29,21,7,0.207645065,2,16.74516944,33.50568981,28.5,15.22074217,3.82075352,0.207645065,0,0.267512103,0.232346065,-0.016666667,-0.262693538,-0.39740581
2022/7/5,177,field,44578,3604,1,6,25,36,23,9,1,0.585460757,6,23.4385339,33.06455647,23,11.08933055,2.822118321,-0.207269622,0,-0.060056388,-0.079336312,0,0.208933055,0.911059161
2022/7/6,178,fluff,47344,4049,0,0,4,25,44,23,4,0.147125738,1,0.447149241,27.69654675,44,25.31663891,1.392539362,0.147125738,1,-0.710570152,0.103713337,0,0.096526621,-0.521492128
2022/7/7,179,agape,43407,3671,0,2,18,36,27,15,3,0.302999907,3,18.03024474,33.23825356,27.5,14.42850105,3.500000748,0.302999907,0.333333333,0.001591828,-0.074641796,0.017857143,-0.035718684,0.125000187
2022/7/8,180,voice,42806,3484,1,5,24,35,25,9,1,0.573972774,5.833333333,21.32616625,32.34082605,25,12.39769501,2.528006585,-0.213013613,0.138888889,-0.10695335,-0.073865943,0,0.339769501,0.764003293
2022/7/9,181,stead,47094,3933,1,6,20,27,28,16,3,0.597473004,6,18.26165635,30.9691843,28,14.29748766,1.87419869,-0.201263498,0,-0.082778269,0.141756582,0,-0.100147785,-0.281450328
2022/7/10,182,berth,41785,3494,0,7,24,35,24,9,1,0.634339403,6.5,23.5633838,32.72130113,23,11.0140257,2.566949972,0.634339403,-0.0625,-0.017464648,-0.063297191,-0.04,0.20140257,0.783474986
2022/7/11,183,madam,40545,3430,0,3,13,35,34,14,2,0.220858536,2,11.05060413,31.20078042,34,18.74971499,2.778041926,0.220858536,-0.25,-0.139242562,-0.105533877,0,0.316647666,0.259347309
2022/7/12,184,night,46910,3870,1,8,27,27,17,13,7,0.750267762,7.833333333,30.10856991,34.32040017,17,6.963424233,3.024004598,-0.124866119,-0.018518519,0.111020354,0.261442863,0,-0.431183983,-0.496999425
2022/7/13,185,bland,46246,3727,0,7,31,38,18,4,0,0.609853496,6.347826087,27.66688804,34.50206789,19,8.470418879,3.402945609,0.609853496,-0.081521739,-0.104159749,-0.089690567,0.052631579,0.894083776,3.402945609
2022/7/14,186,liver,40549,3388,0,4,16,26,25,20,8,0.529208832,5.4,22.25333852,33.05738845,24,11.82132779,2.938736414,0.529208832,0.28,0.367843442,0.261384757,-0.038461538,-0.389460581,-0.562362621
2022/7/15,187,wedge,39234,3353,0,2,11,32,37,17,2,0.228065884,2,7.944477601,29.94355711,37,20.67460926,2.209290147,0.228065884,0,-0.254626867,-0.062316451,0,0.204144959,0.069763382
2022/7/16,188,roomy,38769,3280,0,2,17,41,28,10,2,0.208107075,2,16.54605876,33.42509857,28.69230769,15.34413283,3.784295073,0.208107075,0,-0.025218958,-0.180354796,0.023872679,0.485830257,0.594765024
2022/7/17,189,wacky,39611,3345,0,3,18,39,27,10,2,0.206443841,2,17.26285719,33.71522702,28,14.89992646,3.915545483,0.206443841,-0.25,-0.03879699,-0.132119325,0.035714286,0.44544786,0.638515161
2022/7/18,190,flock,42574,3548,0,4,22,37,27,9,1,0.432141737,4.333333333,18.88086554,32.5324432,27,13.9068724,2.91434378,0.432141737,0.066666667,-0.135614542,-0.117567284,0,0.49068724,0.95717189
2022/7/19,191,angry,39667,3358,0,5,27,38,21,7,1,0.484099793,5,24.74189738,34.37967881,21.5,10.27749312,3.616830908,0.484099793,0,-0.080646522,-0.092828748,0.022727273,0.40968664,1.308415454
2022/7/20,192,trite,42237,3685,0,4,14,22,22,23,15,0.384896129,4,25.1155359,35.3184894,20.89795918,10.04181452,4.241304868,0.384896129,0,0.741035727,0.579064757,-0.047914818,-0.539924395,-0.672418446
2022/7/21,193,aphid,39086,3367,0,6,24,36,23,9,2,0.585460757,6,23.4385339,33.06455647,23,11.08933055,2.822118321,0.585460757,0,-0.022458644,-0.079336312,0,0.208933055,0.27403944
2022/7/22,194,tryst,43099,3665,0,3,26,41,23,6,1,0.292188885,3,22.68943453,35.12408851,23,11.54115965,4.353128416,0.292188885,0,-0.122613536,-0.139902655,0,0.791594236,1.676564208
2022/7/23,195,midge,36769,3111,0,2,18,39,28,10,2,0.302098988,3,18.41851055,33.39540647,27.125,14.18788927,3.57109472,0.302098988,0.333333333,0.022026871,-0.140114838,-0.030172414,0.380717206,0.52369824
2022/7/24,196,power,39813,3401,2,6,19,29,24,15,4,0.587863207,6,22.40315839,32.64548204,24,11.73096197,2.632534394,-0.470712264,0,0.17015792,0.121516068,0,-0.204314877,-0.273493121
2022/7/25,197,elope,39228,3339,0,4,22,32,26,13,2,0.301798682,3,18.54793249,33.44779078,27,14.10768534,3.594792711,0.301798682,-0.2,-0.150089892,0.043872448,0.037037037,0.079120381,0.53159757
2022/7/26,198,cinch,39171,3507,0,2,15,24,22,25,13,0.257200672,2.666666667,23.64157678,35.77199984,22,10.94973147,4.712824575,0.257200672,0.222222222,0.540098549,0.470879994,0,-0.540394943,-0.591941102
2022/7/27,199,motto,38384,3285,0,1,11,36,36,14,1,0.225663435,2,8.979853111,30.36263155,36,20.03297784,2.398874073,0.225663435,0.5,-0.168345574,-0.152361309,0,0.402198523,0.699437037
2022/7/28,200,stomp,40650,3490,0,7,26,32,21,11,2,0.645827386,6.666666667,25.67575145,33.44503155,21,9.705661238,2.861061708,0.645827386,-0.041666667,-0.012009206,0.043788835,0,-0.107861564,0.287020569
2022/7/29,201,upset,37791,3213,0,5,30,38,20,6,1,0.496856892,5.133333333,24.89465709,34.33649879,21.38461538,10.18337743,3.570661084,0.496856892,0.022222222,-0.164688481,-0.093935928,0.065934066,0.597625347,1.285330542
2022/7/30,202,bluff,37353,3171,0,2,14,42,31,10,1,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,0.213651188,0,0.010448711,-0.22190689,0,0.620438248,1.173396852
2022/7/31,203,cramp,39250,3369,1,8,26,33,19,10,2,0.774368604,8,26.78521613,32.84398981,20.25,9.023624736,2.322800721,-0.112815698,0,0.029082079,-0.004588535,0.0625,-0.088761388,0.10760024
2022/8/1,204,quart,36662,3303,0,5,20,33,27,13,2,0.399555973,4,18.79763228,32.7612801,27,13.95707564,3.084456013,0.399555973,-0.166666667,-0.057255606,-0.007021174,0,0.068362546,0.361485338
2022/8/2,205,coyly,34909,3380,0,0,4,17,28,35,15,0.10868655,1,17.0131574,34.4017377,28,15.05053616,4.425882181,0.10868655,1,2.60263148,0.966763206,0,-0.554151773,-0.660882364
2022/8/3,206,youth,38381,3327,1,5,17,31,29,15,3,0.502118162,5,16.97658105,31.23662055,29,15.08972878,2.194951462,-0.248940919,0,-0.001301053,0.007394392,0,0.005608049,-0.201262135
2022/8/4,207,rhyme,37229,3336,0,4,22,39,25,8,1,0.394751074,4,20.8683833,33.59942896,25,12.6738128,3.463623865,0.394751074,0,-0.049200726,-0.135014276,0,0.519312533,1.231811933
2022/8/5,208,buggy,37350,3428,0,1,9,29,34,22,5,0.216053638,2,13.12135515,32.03892928,32,17.46645215,3.157209778,0.216053638,0.5,0.412135515,0.101297643,-0.057142857,-0.197110776,-0.307131704
2022/8/6,209,alien,38841,3395,3,17,31,29,15,4,0,3,17,34.46823567,28.86553446,15,4.299572457,0,0,0,0.108382365,-0.004482185,0,0.059914491,0
2022/8/7,210,smear,36223,3190,0,2,16,39,29,12,2,0.20884629,2,16.22748168,33.29615259,29,15.54155788,3.725961557,0.20884629,0,0.013381275,-0.142596185,0,0.272427529,0.575320519
2022/8/8,211,unfit,35516,3187,0,3,24,38,25,9,1,0.296993783,3,20.61868351,34.28593965,25,12.8244225,3.973960563,0.296993783,0,-0.13525266,-0.095232317,0,0.38244225,1.486980282
2022/8/9,212,patty,36223,3019,0,2,16,39,29,12,1,0.20884629,2,16.22748168,33.29615259,29,15.54155788,3.725961557,0.20884629,0,0.013381275,-0.142596185,0,0.272427529,1.362980779
2022/8/10,213,cling,37654,3312,0,4,20,34,27,13,2,0.399555973,4,18.79763228,32.7612801,27,13.95707564,3.084456013,0.399555973,0,-0.057255606,-0.035391997,0,0.068362546,0.361485338
2022/8/11,214,glean,37301,3243,0,6,23,37,24,8,1,0.594347784,6.090909091,23.46123388,33.00214641,23,11.07563876,2.775724075,0.594347784,0.012987013,0.019218078,-0.105206673,-0.04,0.34173764,0.887862038
2022/8/12,215,label,34198,3076,0,4,18,32,29,15,2,0.453239517,4.5,16.85173116,31.57987589,29,15.16503363,2.450119811,0.453239517,0.1,-0.060435202,-0.012731034,0,0.010314602,0.150039937
2022/8/13,216,hunky,35276,3185,0,1,11,33,25,22,7,0.203354977,2,18.59405427,34.25403701,26.71428571,14.07497178,4.159296245,0.203354977,0.5,0.632837856,0.036883441,0.065934066,-0.344566444,-0.355087969
2022/8/14,217,khaki,31652,2968,0,2,17,33,28,16,4,0.207645065,2,16.74516944,33.50568981,28.5,15.22074217,3.82075352,0.207645065,0,-0.014157253,0.01487323,0.017241379,-0.045838696,-0.035849296
2022/8/15,218,poker,35376,3180,0,4,17,30,27,17,5,0.497313264,5,19.04733207,32.07476942,27,13.80646594,2.574119314,0.497313264,0.2,0.113740671,0.066928046,0,-0.177418559,-0.404313448
2022/8/16,219,gruel,35105,3087,0,3,19,39,29,9,1,0.344505272,3.4,17.09474914,32.54457485,28.5,15.00988859,3.106282142,0.344505272,0.1,-0.095262543,-0.161385629,-0.016666667,0.600988859,1.053141071
2022/8/17,220,twice,35815,3173,1,6,28,38,21,6,1,0.580655859,6,25.50928492,33.90270534,21,9.806067706,3.201286173,-0.209672071,0,-0.085886727,-0.105058837,0,0.543723958,1.100643087
2022/8/18,221,twang,34938,3172,0,3,22,43,25,7,1,0.339244871,3.454545455,21.67343388,34.3548661,24.09090909,12.17266225,3.914338361,0.339244871,0.113636364,-0.014198527,-0.196480316,-0.034965035,0.646582781,1.457169181
2022/8/19,222,shrug,33965,2987,0,4,23,36,26,10,1,0.442974506,4.5,21.27560833,33.37046665,24.72727273,12.42351756,3.260160223,0.442974506,0.1,-0.071849653,-0.071068469,-0.047138047,0.220319778,1.130080112
2022/8/20,223,treat,38245,3249,1,22,32,26,14,5,1,2.127955367,22,36.75211013,25.85205549,14,2.904892527,-3.637013517,0.563977684,0,0.144003337,-0.005479426,0,-0.349184579,-2.318506759
2022/8/21,224,waste,35617,3186,1,7,19,27,24,17,5,0.684018865,7,23.34310852,32.23835431,23.33333333,11.15259799,2.24858698,-0.157990568,0,0.217155426,0.187084083,-0.026666667,-0.324855667,-0.458568837
2022/8/22,225,merit,35888,3123,0,7,33,37,17,5,0,0.672807435,7,28.1748609,34.19403501,18.66666667,8.15831802,3.133311969,0.672807435,0,-0.141915856,-0.073841184,0.092592593,0.526386337,3.133311969
2022/8/23,226,woven,33549,2933,0,2,13,32,32,17,3,0.264932283,2.5,13.24620505,31.69567394,32,17.3911473,2.902041429,0.264932283,0.166666667,0.017586075,-0.009222002,0,0.021730406,-0.024489643
2022/8/24,227,needy,33700,2927,0,2,21,41,26,9,1,0.228480714,2.25,18.36065765,33.96267379,27,14.22064262,3.977545235,0.228480714,0.083333333,-0.119970107,-0.167555386,0.037037037,0.522064262,1.488772618
2022/8/25,228,clown,36737,3175,1,8,29,36,20,6,1,0.773767991,8,27.04406001,32.94875841,20,8.863216881,2.370196703,-0.113116005,0,-0.065198,-0.082465989,0,0.409030983,0.685098352
2022/8/26,229,irony,34716,3046,0,6,29,34,21,8,1,0.484099793,5,24.74189738,34.37967881,21.5,10.27749312,3.616830908,0.484099793,-0.142857143,-0.141936754,0.010847966,0.022727273,0.253054791,1.308415454
2022/8/27,230,ruder,31241,2784,0,2,16,33,29,16,4,0.257424629,2.5,16.48175351,33.00528155,28.875,15.38604911,3.494491198,0.257424629,0.166666667,0.028338442,0.00015534,-0.004166667,-0.036114758,-0.10110176
2022/8/28,231,gauze,30214,2866,0,2,11,24,31,25,8,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,0.213651188,0,0.263060888,0.338320149,0,-0.314429972,-0.517022922
2022/8/29,232,chief,34281,3072,1,6,32,38,18,5,0,0.583073382,6.083333333,27.99906561,34.84482746,18.61538462,8.263472738,3.610842862,-0.208463309,0.011904762,-0.121240436,-0.08090186,0.032388664,0.543912123,3.610842862
2022/8/30,233,onset,33660,3009,0,4,29,40,21,6,1,0.385141277,4,25.00988534,35.2757267,21,10.10728711,4.22195957,0.385141277,0,-0.133003822,-0.115226178,0,0.586755301,1.610979785
2022/8/31,234,prize,35343,3166,0,5,12,20,32,26,5,0.59622088,5.888888889,14.09240989,29.36916553,32,16.88074775,1.172567062,0.59622088,0.148148148,0.160954607,0.44615074,0,-0.337750083,-0.63790549
2022/9/1,235,fungi,31903,2928,0,2,18,41,28,9,1,0.20884629,2,16.22748168,33.29615259,29,15.54155788,3.725961557,0.20884629,0,-0.093290438,-0.183424938,0.034482759,0.654155788,1.362980779
2022/9/2,236,charm,35724,3149,1,12,32,34,16,5,1,1.109740782,11.5,30.58040344,31.62359101,17.42857143,6.686173555,1.071519783,0.054870391,-0.038461538,-0.043018078,-0.0678974,0.084033614,0.281028926,0.035759892
2022/9/3,237,gully,31191,2877,0,1,9,27,31,25,7,0.115893898,1,13.90703087,33.1445144,31,16.97543043,3.857130403,0.115893898,0,0.490703087,0.219446943,0,-0.308637291,-0.3928587
2022/9/4,238,inter,32018,2889,0,6,25,36,23,8,1,0.585460757,6,23.4385339,33.06455647,23,11.08933055,2.822118321,0.585460757,0,-0.060056388,-0.079336312,0,0.34325895,0.911059161
2022/9/5,239,whoop,32733,2970,0,1,16,47,29,7,1,0.210287759,2,15.60625637,33.04470793,29.6,15.92653674,3.612211201,0.210287759,0.5,-0.02316139,-0.290735251,0.02,1.115817093,1.306105601
2022/9/6,240,taunt,32734,3022,0,4,19,27,21,16,13,0.287383986,3,24.76018555,35.96223738,21,10.25789681,4.732296268,0.287383986,-0.2,0.288009278,0.320079906,0,-0.337770776,-0.590550267
2022/9/7,241,leery,30992,2873,0,3,17,37,28,12,2,0.382406964,3.8,17.71231681,32.4795078,28,14.628829,2.996939426,0.382406964,0.2,0.039573156,-0.118960321,0,0.202217615,0.332313142
2022/9/8,242,class,31962,3001,0,4,21,32,22,13,7,0.387543726,4,23.97450983,34.85665227,22,10.74891853,4.032375644,0.387543726,0,0.135204992,0.08656522,0,-0.160791534,-0.370953045
2022/9/9,243,theme,32172,2909,0,8,29,40,18,4,0,0.768963093,8,29.11481103,33.78690728,18,7.579954038,2.749364555,0.768963093,0,0.003827034,-0.151538847,0,0.715990808,2.749364555
2022/9/10,244,lofty,29237,2777,0,4,19,34,27,13,3,0.399555973,4,18.79763228,32.7612801,27,13.95707564,3.084456013,0.399555973,0,-0.010118386,-0.035391997,0,0.068362546,0.021114003
2022/9/11,245,tibia,27887,2675,0,1,14,40,30,12,2,0.211248739,2,15.19210617,32.87707815,30,16.18318931,3.536377631,0.211248739,0.5,0.079473745,-0.173729801,0,0.321783793,0.512125877
2022/9/12,246,booze,29147,2883,0,1,7,27,38,23,4,0.230468333,2,6.909102091,29.52448268,38,21.31624068,2.019706221,0.230468333,0.5,-0.011362239,0.090160096,0,-0.070156638,-0.396058756
2022/9/13,247,alpha,29497,2706,0,3,19,40,28,9,1,0.304201131,3,17.51255698,33.02871634,28,14.74931676,3.405208785,0.304201131,0,-0.074372151,-0.170031309,0,0.574931676,1.202604393
2022/9/14,248,thyme,32142,2938,1,5,24,41,23,5,0,0.487703467,5,23.18883411,33.75106715,23,11.23994025,3.332455019,-0.256148267,0,-0.032446636,-0.172593639,0,1.039990042,3.332455019
2022/9/15,249,doubt,33344,3011,1,12,32,34,16,4,0,1.155187357,12,32.18436121,31.87901343,16,5.694252388,1.087185614,0.077593679,0,0.005586703,-0.060599616,0,0.338850478,1.087185614
2022/9/16,250,parer,37309,4130,0,0,4,11,15,22,48,0,0,30.21720312,40.53047349,15,6.859446193,7.400316351,0,0,5.243440624,2.460872791,0,-0.658284948,-0.828564972
2022/9/17,251,chute,33418,3073,0,11,37,36,12,3,0,1.047820269,11,36.07616346,34.24182185,12,3.278336403,2.355858018,1.047820269,0,-0.024311488,-0.047518328,0,0.069584101,2.355858018
2022/9/18,252,stick,33102,3038,1,9,36,35,14,4,0,0.79346789,8.333333333,32.68067101,34.9676844,14.63636364,5.371536022,3.216943711,-0.103266055,-0.066666667,-0.089711594,-0.000897656,0.042424243,0.274307204,3.216943711
2022/9/19,253,trice,35050,3430,0,5,24,25,18,17,11,0.476291832,5,28.10686778,35.74167072,18.25,8.192190998,4.232978669,0.476291832,0,0.164274711,0.413141182,0.013157895,-0.489322722,-0.563918444
2022/9/20,254,alike,31277,2843,0,6,20,33,27,12,2,0.642437597,6.526315789,21.18859117,31.73936386,25.3,12.48581455,2.117477028,0.642437597,0.07518797,0.05659958,-0.037077534,-0.060714286,0.03737035,0.039159009
